Year,Type,School,School2
2016.0,PMF,PENN STATE UNIVERSITY,PENN STATE UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,GEORGETOWN UNIV LAW CENTER,GEORGETOWN UNIVERSITY
2016.0,PMF,UNIVERSITY OF TEXAS?ARLINGTON,UNIVERSITY OF TEXAS - ARLINGTON
2016.0,PMF,PEPPERDINE UNIVERSITY,PEPPERDINE UNIVERSITY
2016.0,PMF,FAULKNER UNIVERSITY,FAULKNER UNIVERSITY
2016.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2016.0,PMF,TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF STEM,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,INSTITUTE OF WORLD POLITICS (THE),INSTITUTE OF WORLD POLITICS
2016.0,PMF,UNIV OF LONDON?LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2016.0,PMF,EXCELSIOR COLLEGE,EXCELSIOR COLLEGE
2016.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2016.0,PMF,UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF STEM,VINCENTIA UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2016.0,PMF,FULL SAIL UNIVERSITY,FULL SAIL UNIVERSITY
2016.0,PMF,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2016.0,PMF STEM,FLORIDA A & M UNIVERSITY,FLORIDA A & M UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF STEM,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,VANDERBILT UNIVERSITY,VANDERBILT UNIVERSITY
2016.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF,UNIV OF LONDON?LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2016.0,PMF,CONCORDIA UNIVERSITY,CONCORDIA UNIVERSITY
2016.0,PMF,WAYLAND BAPTIST UNIVERSITY,WAYLAND BAPTIST UNIVERSITY
2016.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2016.0,PMF STEM,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
2016.0,PMF,REGIS UNIVERSITY,REGIS UNIVERSITY
2016.0,PMF,STRAYER UNIVERSITY,STRAYER UNIVERSITY
2016.0,PMF,VANDERBILT UNIVERSITY,VANDERBILT UNIVERSITY
2016.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2016.0,PMF,GRANTHAM UNIVERSITY,GRANTHAM UNIVERSITY
2016.0,PMF,UNIVERSITY OF SAN FRANCISCO,UNIVERSITY OF SAN FRANCISCO
2016.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,UNIVERSITY OF KENTUCKY,UNIVERSITY OF KENTUCKY
2016.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,UNIVERSITY OF COLORADO?BOULDER,UNIVERSITY OF COLORADO - BOULDER
2016.0,PMF,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA - BIRMINGHAM
2016.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH OF BUS/ED,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2016.0,PMF,UTICA COLLEGE? UTICA,UTICA COLLEGE
2016.0,PMF,ARIZONA STATE UNIV (ALL CAMPUSES),ARIZONA STATE UNIV (ALL CAMPUSES)
2016.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,MERCER UNIVERSITY,MERCER UNIVERSITY
2016.0,PMF,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,STRAYER UNIVERSITY,STRAYER UNIVERSITY
2016.0,PMF,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
2016.0,PMF,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2016.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2016.0,PMF,UNIV ARKANSAS FAYETTEVILLE,UNIV ARKANSAS FAYETTEVILLE
2016.0,PMF STEM,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2016.0,PMF,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2016.0,PMF STEM,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2016.0,PMF STEM,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF STEM,THE UNIVERSITY OF NEW MEXICO,THE UNIVERSITY OF NEW MEXICO
2016.0,PMF STEM,DUKE UNIV ? GRAD SCH ARTS & SCIENCE,DUKE UNIVERSITY
2016.0,PMF,ASHFORD UNIVERSITY,ASHFORD UNIVERSITY
2016.0,PMF,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2016.0,PMF STEM,UNIVERSITY OF WISCONSIN?MADISON,UNIVERSITY OF WISCONSIN - MADISON
2016.0,PMF STEM,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
2016.0,PMF STEM,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,MING JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,COLUMBIA UNIV TEACHERS COLLEGE,COLUMBIA UNIVERSITY
2016.0,PMF,BOWIE STATE UNIVERSITY,BOWIE STATE UNIVERSITY
2016.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF,FLORIDA A & M UNIVERSITY,FLORIDA A & M UNIVERSITY
2016.0,PMF,JOHNS HOPKINS BLOOMBERG SCH OF PH,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
2016.0,PMF,UNIV OF LONDON?LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2016.0,PMF,CUNY GRADUATE SCH & UNIV CTR,CUNY GRADUATE SCH & UNIV CTR
2016.0,PMF,UNIVERSITY OF SOUTH CAROLINA,UNIVERSITY OF SOUTH CAROLINA
2016.0,PMF STEM,"GEORGETOWN UNIV, SCH OF MEDICINE",GEORGETOWN UNIVERSITY
2016.0,PMF,UNIVERSITY OF CALIFORNIA?SAN DIEGO,UNIVERSITY OF CALIFORNIA-SAN DIEGO
2016.0,PMF STEM,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,UNIVERSITY OF CINCINNATI COLLEGE OF LAW,UNIVERSITY OF CINCINNATI
2016.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2016.0,PMF,UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA
2016.0,PMF STEM,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,PALM BEACH ATLANTIC UNIVERSITY,PALM BEACH ATLANTIC UNIVERSITY
2016.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2016.0,PMF,DREXEL UNIVERSITY,DREXEL UNIVERSITY
2016.0,PMF,ROOSEVELT UNIVERSITY,ROOSEVELT UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,"EMORY UNIVERSITY, Atlanta, GA",EMORY UNIVERSITY
2016.0,PMF,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2016.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,TULANE UNIVERSITY,TULANE UNIVERSITY
2016.0,PMF STEM,SAINT LOUIS UNIVERSITY,SAINT LOUIS UNIVERSITY
2016.0,PMF,INDIANA UNIVERSITY?BLOOMINGTON,INDIANA UNIVERSITY - BLOOMINGTON
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2016.0,PMF STEM,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,HARVARD UNIV GRAD SCH ED,HARVARD UNIVERSITY
2016.0,PMF,STANFORD UNIVERSITY,STANFORD UNIVERSITY
2016.0,PMF STEM,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF,PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
2016.0,PMF,ILLINOIS INSTITUTE OF TECHNOLOGY,ILLINOIS INSTITUTE OF TECHNOLOGY
2016.0,PMF,UNIVERSITY OF EDINBURGH,UNIVERSITY OF EDINBURGH
2016.0,PMF STEM,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2016.0,PMF,UNIVERSITY OF NOTRE DAME,UNIVERSITY OF NOTRE DAME
2016.0,PMF,TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
2016.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2016.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2016.0,PMF,BALL STATE UNIVERSITY,BALL STATE UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,INST D'ETUDES POLITIQUES DE PARIS,INST D'ETUDES POLITIQUES DE PARIS
2016.0,PMF,PORTLAND STATE UNIVERSITY,PORTLAND STATE UNIVERSITY
2016.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,CATHERINE GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2016.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2016.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,UNIVERSITY OF GEORGIA,UNIVERSITY OF GEORGIA
2016.0,PMF STEM,UNIVERSITY OF WISCONSIN?MADISON,UNIVERSITY OF WISCONSIN - MADISON
2016.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2016.0,PMF,CARNEGIE MELLON UNIV? THE HEINZ COLLEGE,CARNEGIE MELLON UNIVERSITY
2016.0,PMF,GRAND CANYON UNIVERSITY,GRAND CANYON UNIVERSITY
2016.0,PMF STEM,UNIVERSITY OF TEXAS?AUSTIN,UNIVERSITY OF TEXAS - AUSTIN
2016.0,PMF,MICHIGAN STATE UNIVERSITY,MICHIGAN STATE UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,BALDWIN?WALLACE COLLEGE,BALDWIN - WALLACE COLLEGE
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,UNIVERSITY OF N C?CHAPEL HILL,UNIVERSITY OF NORTH CARLOLINA - CHAPEL HILL
2016.0,PMF STEM,UNIVERSITY OF HOUSTON,UNIVERSITY OF HOUSTON
2016.0,PMF STEM,JOHNS HOPKINS BLOOMBERG SCH OF PH,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,NORTHCENTRAL UNIVERSITY,NORTHCENTRAL UNIVERSITY
2016.0,PMF STEM,DEPAUL UNIVERSITY,DEPAUL UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF STEM,UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
2016.0,PMF STEM,UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
2016.0,PMF STEM,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF STEM,EAST CAROLINA UNIVERSITY,EAST CAROLINA UNIVERSITY
2016.0,PMF,"RUTGERS, THE STATE UNIVERSITY OF NJ","RUTGERS, THE STATE UNIVERSITY OF NJ (ALL CAMPUSES)"
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2016.0,PMF STEM,BROWN UNIVERSITY ? GRADUATE SCHOOL,BROWN UNIVERSITY - GRADUATE SCHOOL
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,LAWRENCE TECHNOLOGICAL UNIVERSITY,LAWRENCE TECHNOLOGICAL UNIVERSITY
2016.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2016.0,PMF,BRANDEIS UNIVERSITY,BRANDEIS UNIVERSITY
2016.0,PMF,UNIVERSITY OF SAINT ANDREWS,UNIVERSITY OF SAINT ANDREWS
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2016.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,GEORGETOWN UNIV LAW CENTER,GEORGETOWN UNIVERSITY
2016.0,PMF,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,UNIV OF CENTRAL FLORIDA,UNIV OF CENTRAL FLORIDA
2016.0,PMF,UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA
2016.0,PMF,UNIVERSITY OF SOUTH CAROLINA,UNIVERSITY OF SOUTH CAROLINA
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,LEIBNIZ UNIVERSITAT HANNOVER,LEIBNIZ UNIVERSITAT HANNOVER
2016.0,PMF,VICTORIA UNIV OF MANCHESTER (THE),VICTORIA UNIV OF MANCHESTER (THE)
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,UNIV OF LONDON?LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2016.0,PMF,ASHFORD UNIVERSITY,ASHFORD UNIVERSITY
2016.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2016.0,PMF,KELLY UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA
2016.0,PMF,UNIVERSITY OF KANSAS,UNIVERSITY OF KANSAS
2016.0,PMF STEM,JOHNS HOPKINS UNIV SCH OF MEDICINE,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,INDIANA UNIVERSITY?BLOOMINGTON,INDIANA UNIVERSITY - BLOOMINGTON
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,HARVARD UNIV GRAD SCH ED,HARVARD UNIVERSITY
2016.0,PMF STEM,MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE UNIVERSITY
2016.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF STEM,UNIVERSITY OF HAWAII AT MANOA,UNIVERSITY OF HAWAII AT MANOA
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2016.0,PMF STEM,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2016.0,PMF STEM,UNIVERSITY OF OXFORD,UNIVERSITY OF OXFORD
2016.0,PMF STEM,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
2016.0,PMF,UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF STEM,NATIONAL DEFENSE UNIVERSITY,NATIONAL DEFENSE UNIVERSITY
2016.0,PMF,"RUTGERS, THE STATE UNIVERSITY OF NJ","RUTGERS, THE STATE UNIVERSITY OF NJ (ALL CAMPUSES)"
2016.0,PMF,HOFSTRA UNIVERSITY,HOFSTRA UNIVERSITY
2016.0,PMF STEM,EMORY UNIVERSITY,EMORY UNIVERSITY
2016.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2016.0,PMF STEM,JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,UNIV OF LONDON?LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2016.0,PMF STEM,EMORY UNIVERSITY,EMORY UNIVERSITY
2016.0,PMF,UTICA COLLEGE? UTICA,UTICA COLLEGE
2016.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2016.0,PMF,UNIVERSITY OF SAN DIEGO,UNIVERSITY OF SAN DIEGO
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,NORTH CAROLINA STATE UNIV?RALEIGH,NORTH CAROLINA STATE UNIV - RALEIGH
2016.0,PMF,ESTELI SCHOOL FOR INTERNATIONAL TRAINING,ESTELI SCHOOL FOR INTERNATIONAL TRAINING
2016.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2016.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF,UNIVERSITY OF HAWAII AT MANOA,UNIVERSITY OF HAWAII AT MANOA
2016.0,PMF STEM,UNIVERSITY OF MEMPHIS (THE),UNIVERSITY OF MEMPHIS
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,THE NEW SCHOOL,NEW SCHOOL UNIVERSITY
2016.0,PMF,"RUTGERS, THE STATE UNIVERSITY OF NJ","RUTGERS, THE STATE UNIVERSITY OF NJ (ALL CAMPUSES)"
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,UNIV OF MASSACHUSETTS?BOSTON,UNIV OF MASSACHUSETTS - BOSTON
2016.0,PMF,TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
2016.0,PMF,CUNY?HUNTER COLLEGE,CUNY - HUNTER COLLEGE
2016.0,PMF STEM,COLORADO STATE UNIVERSITY,COLORADO STATE UNIVERSITY
2016.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2016.0,PMF,STETSON UNIVERSITY ? COLLEGE OF LAW,STETSON UNIVERSITY - COLLEGE OF LAW
2016.0,PMF,UNIVERSITY OF N C?WILMINGTON,UNIVERSITY OF NORTH CAROLINA - WILMINGTON
2016.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF STEM,CLEMSON UNIVERSITY,CLEMSON UNIVERSITY
2016.0,PMF,ASHFORD UNIVERSITY,ASHFORD UNIVERSITY
2016.0,PMF,UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF,STANFORD UNIVERSITY,STANFORD UNIVERSITY
2016.0,PMF,UNIVERSITY OF DENVER,UNIVERSITY OF DENVER
2016.0,PMF,SAN JOSE STATE UNIVERSITY,SAN JOSE STATE UNIVERSITY
2016.0,PMF,SUNY AT ALBANY,SUNY AT ALBANY
2016.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2016.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2016.0,PMF STEM,INTERNATIONAL SPACE UNIVERSITY,INTERNATIONAL SPACE UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,KEMLIA HOWARD UNIVERSITY,HOWARD UNIVERSITY
2016.0,PMF,UNIVERSITY OF VIRGINIA ? SFS,UNIVERSITY OF VIRGINIA 
2016.0,PMF STEM,UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
2016.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2016.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2016.0,PMF,UNIV OF LONDON?LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2016.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2016.0,PMF,UNIVERSITY OF TEXAS AT DALLAS,UNIVERSITY OF TEXAS - DALLAS
2016.0,PMF,UNIVERSITY OF BALTIMORE,UNIVERSITY OF BALTIMORE
2016.0,PMF STEM,NORTHWESTERN UNIV,NORTHWESTERN UNIVERSITY
2016.0,PMF,UNIVERSITY OF OREGON,UNIVERSITY OF OREGON
2016.0,PMF STEM,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2016.0,PMF STEM,CLEMSON UNIVERSITY,CLEMSON UNIVERSITY
2016.0,PMF,UNIVERSITY OF REDLANDS,UNIVERSITY OF REDLANDS
2016.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2016.0,PMF,UNIVERSITY OF CALIFORNIA (UCLA),UNIVERSITY OF CALIFORNIA (UCLA)
2016.0,PMF,UNIV OF LONDON?LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2016.0,PMF,HARVARD UNIV GRAD SCH DESIGN,HARVARD UNIVERSITY
2016.0,PMF,CUNY?BERNARD BARUCH COLLEGE,CUNY - BERNARD BARUCH COLLEGE
2016.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2016.0,PMF,NATIONAL UNIVERSITY,NATIONAL UNIVERSITY
2016.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2016.0,PMF,JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,JOHNS HOPKINS UNIVERSITY
2016.0,PMF,SETON HALL UNIVERSITY,SETON HALL UNIVERSITY
2016.0,PMF,UNIVERSITY OF CALIFORNIA (UCLA),UNIVERSITY OF CALIFORNIA (UCLA)
2016.0,PMF STEM,FELIPE UNIVERSITY OF TEXAS?AUSTIN,UNIVERSITY OF TEXAS - AUSTIN
2016.0,PMF STEM,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
